,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
0,51450,43330,35420,28070,22050,17570,14980,14560,16310,19530,23380,27930,33460,39340,44170,46970,48300,48160,47040,44730,41160,36890,33040,30310,28350,26740,25270,23450,20860,17220,12460,1330,-3010,-5320,-5880,-5390,-4690,-4690,-6020,-8470,-11620,-15470,-19810,-23940,-27580,-30660,-32900,-34440,-34790,-34020,-32970,-31570,-30030,-28280,-26740,-26250,-27370,-29680,-32760,-35980,-38640,-39970,-39830,-38150,-34720,-30170,-25760,-22330,-20020,-18830,-19040,-20300,-24290,-25830,-26110,-24710,-21770,-18060,-14350,-11270,-9240,-7910,-6790,-5740,-4690,-3850,-2870,-1330,210,560,-1680,-6580,-11480,-12950,-9240,-1960,6930,15750,24710,33250,40810,47740,53550,57190,57330,53970,47110,37940,28210,19320,11690,6440,2870,3990,6300,9660,13300,17220,21350,24850,26950,27930,28560,28420,27440,26040,24780,23450,21910,20580,19740,19390,18760,17710,15960,13090,9100,4410,-420,-5040,-9100,-11620,-11900,-10570,-8820,-7070,-5110,-2660,280,3430,6020,7420,3640,-1750,-8540,-15890,-23520,-30730,-36680,-40670,-42700,-43890,-44800,-45010,-44100,-42280,-40530,-38990,-37100,-34510,-31080,-27650,-24290,-21280,-18760,-17500,-17360,-17990,-19460,-21490,-23450,-24710,-24360,-22470,-19460,-15540,-10640,-4900,1120,5950,9170,10640,9660,2940,-1680,-7140,-11270,-11760,-8050,980,0
1,14770,31150,47740,63000,75740,84840,88550,86450,79660,68180,52990,36400,20790,7980,-1330,-6720,-7910,-5320,840,9800,21700,35070,47600,57680,65100,70280,71890,69580,64190,56560,47460,37940,28280,15470,13230,12810,13370,13720,12460,9940,5670,-140,-6510,-12740,-17360,-18900,-17990,-15540,-11970,-8960,-7140,-7210,-8260,-10010,-13160,-17990,-25830,-36610,-48230,-57540,-62650,-64610,-64400,-61810,-57470,-52850,-48930,-45780,-44590,-47250,-54110,-64400,-74200,-80010,-83860,-81060,-74480,-65800,-56770,-47880,-38990,-31640,-26180,-22260,-21000,-20510,-19740,-26390,-29750,-23940,-25060,-25830,-22050,-15190,-10430,-8050,-8050,-10850,-13930,-15680,-13580,-3780,9870,24780,41230,59710,73990,83230,90580,92960,88830,80220,68950,57260,45640,33320,19180,17920,19670,25550,33740,42700,50540,55440,56980,55930,53130,49280,45080,40040,35700,31360,27370,24780,22190,20580,20230,20860,21490,20370,18550,16030,12740,10220,9800,11760,14560,16520,15610,11830,7630,4410,1610,-2030,-7280,-13930,-21420,-37170,-44100,-49070,-51450,-51100,-48790,-44940,-40320,-35280,-29820,-24150,-18900,-14420,-11060,-9240,-8820,-9170,-10710,-13440,-16590,-19530,-21490,-21910,-21840,-21210,-20370,-18130,-15540,-12810,-10010,-6370,-2520,0,2030,3080,2310,-840,-5810,-11410,-16100,-16170,-8190,4200,0
2,19530,36330,52430,65450,73710,78120,79100,75320,67620,57680,46410,34510,23310,14140,7770,4060,3290,5180,9940,17010,25200,33600,41090,46480,49490,49980,48230,45990,42000,37800,33460,28840,24710,22330,21280,20160,18550,14840,13230,10710,6510,1680,-2450,-5040,-5670,-3920,-840,1330,1190,70,-1400,-2730,-3570,-4970,-7560,-11900,-17360,-22820,-28560,-33880,-37870,-39830,-39410,-37380,-34860,-32340,-30450,-28980,-27790,-27300,-27230,-27440,-28280,-29610,-30940,-31780,-32970,-37170,-38360,-38430,-37660,-36120,-33670,-30520,-27300,-24150,-20370,-15820,-11620,-8610,-6230,-3640,-910,980,1820,1820,350,-2520,-3850,-1050,6370,17920,31990,46550,59430,69090,75460,78190,76580,71050,62650,51800,39690,28070,18620,12670,10360,14630,19390,24990,30450,35000,38010,39200,38640,36680,33740,30310,26670,22820,18830,15610,14210,15400,19040,24080,29470,34300,37730,38920,37450,32690,24780,15540,7840,3570,1890,1680,3010,4340,3850,1680,-1400,-4690,-8260,-12180,-16730,-27300,-32550,-36960,-40040,-41510,-41300,-39760,-38080,-37310,-37520,-38430,-39830,-41720,-43750,-45500,-46760,-47320,-46130,-42140,-35490,-27860,-21490,-18130,-17570,-17850,-17290,-16100,-14980,-14140,-13370,-11970,-9380,-5250,630,7420,14000,18900,19880,16240,10220,6790,12950,22960,0
3,33600,42350,49350,55020,58800,60200,58940,54880,47950,38780,29190,20510,13790,9450,8050,9450,13160,18830,25900,33040,38500,40880,40180,36820,31500,25480,20020,16170,14980,16660,20370,25060,30100,34440,36680,37100,35980,26740,17780,7420,-2240,-9310,-12740,-12040,-8190,-3080,1330,3010,1820,-1610,-6300,-11690,-17710,-24360,-32130,-39830,-46830,-52430,-56070,-57750,-57330,-55160,-51310,-46970,-43190,-40530,-38990,-38290,-38220,-38500,-38640,-38570,-38220,-37450,-35560,-32480,-28980,-21980,-18830,-16800,-15540,-14350,-12810,-10640,-7770,-4410,-1050,1820,3920,4970,4410,2730,770,-2660,-8680,-15960,-21070,-20790,-13930,-1890,12740,28070,43400,57190,67340,73430,75740,74270,69090,60480,48930,35770,23240,12810,4550,-1540,-4970,-3220,1680,8260,15470,22050,27230,30940,33180,34090,33180,30870,28280,26320,25340,25550,26810,28280,29470,30240,30310,28630,24500,18060,9940,1470,-5530,-9310,-9520,-6930,-2310,2660,5600,6370,5670,3430,-420,-5950,-12880,-20370,-28070,-42280,-48020,-52290,-53970,-53060,-49700,-44590,-39900,-36890,-35630,-35700,-36540,-37590,-38710,-39970,-41020,-41580,-41440,-40390,-38360,-34720,-29820,-24780,-21280,-20440,-21350,-22260,-22260,-21000,-18830,-15890,-12880,-9940,-6300,-1540,4550,11480,17710,21560,22050,20160,22330,27650,0
4,35000,42350,48300,53130,57610,60690,61460,59360,54460,46620,36960,27580,19670,14070,10990,10500,12460,16030,19600,22680,25130,26670,27510,27930,27930,27790,28350,30100,32200,34440,35980,35350,35000,36400,33110,33530,33250,25410,21490,17500,12390,6580,1330,-2030,-3150,-1820,1540,5530,9730,13440,14840,13230,9100,2940,-5250,-14980,-24640,-32830,-39410,-44660,-48020,-48650,-46200,-41230,-35630,-31500,-29680,-31010,-35420,-41790,-48440,-54040,-57820,-59290,-58170,-54460,-42070,-34860,-28000,-22050,-17290,-14070,-12110,-10990,-10640,-10150,-9170,-7770,-6370,-4760,-3150,-1540,-280,70,420,910,1820,3990,8050,14840,24850,36890,48930,57750,62510,64190,63280,59640,53270,44030,32900,21840,12740,5950,2660,2870,8960,13160,17360,20720,23100,24430,24360,23590,22750,22680,23660,25550,28210,31080,31150,30520,29540,27300,24360,21770,19600,17290,14210,9590,3430,-3010,-7980,-9660,-8260,-6090,-5390,-7840,-13090,-19110,-25480,-31290,-35000,-35560,-33390,-30240,-23940,-21910,-20650,-19670,-18200,-16590,-16240,-19180,-24920,-31290,-38430,-45570,-51450,-55160,-55860,-53480,-48370,-41720,-34510,-27580,-21490,-16450,-13090,-11410,-11060,-11550,-12180,-12250,-11550,-10010,-8120,-6230,-4690,-3430,-2520,-2380,-2870,-4270,-5040,-7420,-9450,-9450,-5180,4270,0
5,17080,30520,42280,51730,59080,63350,63420,59710,52780,43470,32410,21000,10570,2240,-2380,-2870,-210,4970,11830,19460,26670,31780,34580,35980,36540,36400,36120,35700,35560,35280,34860,36260,37870,38080,35350,27930,25690,23030,19390,14630,9100,4550,3150,4900,8540,12180,13930,13580,11620,7490,980,-6930,-15050,-22330,-28070,-32270,-35140,-37170,-38150,-37520,-35210,-32620,-30730,-30100,-31640,-35140,-39760,-43680,-45430,-44940,-42700,-39620,-36540,-33530,-30380,-24640,-22820,-21980,-22120,-22820,-24010,-25410,-26460,-26460,-24990,-21630,-16660,-11410,-7420,-4270,-1750,140,1120,840,-1330,-5320,-8610,-8680,-4130,4550,16380,29260,40950,49840,55860,59430,60200,57890,52360,43820,34020,24780,17010,10570,5950,3430,4970,7420,10850,14630,18270,21350,23940,25690,26460,26600,26320,26040,24780,23450,23870,24780,25130,25060,25060,24990,24500,22190,17990,12250,5180,-1890,-6230,-6300,-2310,3220,8260,11690,13230,12950,10500,6720,-140,-9660,-20230,-40670,-47530,-50750,-50400,-47390,-43330,-39620,-36120,-33390,-32270,-32340,-33460,-35280,-37660,-40250,-41510,-40390,-38360,-34650,-30100,-25900,-23100,-21770,-21350,-21490,-21700,-21560,-20790,-19460,-17220,-13650,-8400,-1960,3850,7210,8610,9940,10780,10640,7210,-210,-280,2450,7350,12040,0
6,15190,17850,21420,25340,28630,31360,33110,32340,29190,24010,17360,10710,5740,2730,1540,2520,5110,8260,11270,14280,17990,21770,24010,24150,22260,20020,18340,17500,16940,16170,15260,14490,13860,13370,12950,11970,10220,6440,1190,-4200,-8540,-11060,-11200,-8890,-4970,350,6650,12530,17010,19180,17990,12530,3920,-4410,-11200,-17010,-21350,-24220,-25760,-25970,-25060,-22610,-19740,-17920,-18760,-22120,-26670,-28560,-31430,-30800,-27300,-24640,-21630,-16310,-10570,-6370,-6930,-9170,-13440,-19250,-24360,-26740,-26320,-24780,-23170,-21490,-19040,-16030,-13510,-12110,-11480,-11200,-10570,-8610,-5810,-3920,-3570,-3290,-910,4760,13230,21840,30520,34720,36400,36610,34930,32760,30590,26460,21700,16800,12250,8820,5880,1540,1890,3990,7420,12110,14840,17150,19880,23170,26320,27790,26810,23870,19950,16170,13370,11690,10640,9940,9730,9030,7000,3430,-1260,-5950,-9940,-12530,-13300,-11690,-6440,1260,8330,12880,14840,13650,7840,-1120,-10080,-17570,-24010,-34720,-38500,-40810,-41440,-39690,-35840,-31010,-26810,-24080,-22540,-22050,-22680,-23730,-23940,-22890,-21210,-19250,-16730,-13860,-10710,-8050,-5880,-4200,-3220,-3150,-3570,-4550,-6230,-8400,-11200,-14420,-16870,-17710,-16660,-13580,-8890,-2520,4410,10640,16310,13790,7490,70,-5810,-10430,0
7,-12880,-12810,-10430,-6370,-1470,4060,11200,20440,29750,36890,40460,40040,36330,31080,25550,19880,14280,9870,6860,4620,3290,2660,2730,3920,6370,8890,10640,11900,13090,13580,12950,11550,9590,7630,4830,5600,7910,11760,16520,20440,22120,20580,16240,10500,5040,490,-2870,-4270,-3500,-1610,490,1330,-280,-2380,-3920,-6790,-10500,-13440,-15470,-16240,-14770,-10920,-6160,-2240,490,2380,2730,630,-5110,-14840,-27440,-41440,-54530,-63770,-62580,-52010,-38430,-25130,-15190,-10220,-10010,-13370,-18410,-23380,-27090,-29190,-29610,-28280,-25130,-19530,-12110,-4410,2520,7980,11900,13230,12530,11270,9100,5950,2660,840,2100,7840,16380,25690,34160,40180,42980,43470,42560,40180,36190,24010,16590,9520,3850,140,-1540,-770,2030,6160,11620,17850,23800,28280,30520,31080,30940,30590,30310,29750,28770,27860,26670,24640,21840,18690,15680,13090,10850,8470,5670,2730,280,-770,910,5180,10640,15890,19740,20230,16590,2240,-6720,-16170,-24920,-31780,-35840,-37450,-37310,-35840,-33530,-30170,-27510,-28280,-31220,-35420,-40670,-45430,-48300,-48650,-46690,-43330,-39200,-34230,-28840,-22890,-16520,-10080,-4620,-1050,280,350,-700,-3290,-7140,-11130,-13790,-14420,-13720,-11060,-7000,-4410,-7630,-12320,-18550,-25130,-29260,-28280,0
8,-20860,-6510,12600,32130,48160,59290,64890,64820,59430,50190,38990,26880,15750,7770,3080,1540,2730,6300,10990,16590,23380,30170,35910,40040,42210,42630,42140,41300,40180,38290,35980,33390,30520,24640,21560,18830,16800,15050,13790,12880,12040,10430,7490,3850,1540,1960,4690,7700,7840,4550,-1330,-8890,-16520,-23310,-29050,-32900,-35210,-35140,-32970,-30520,-27650,-24500,-22050,-20930,-21560,-24290,-29120,-35280,-41930,-47880,-52080,-53830,-53970,-52220,-47600,-44240,-37870,-28840,-20580,-13790,-8330,-5250,-7070,-11900,-17990,-22890,-24570,-21490,-15260,-8120,-2380,700,1260,-1190,-6510,-13440,-20230,-26530,-31640,-34300,-32970,-26180,-13720,3010,21770,39620,54670,64750,69160,69160,65240,58030,48440,36960,13510,4690,-910,-2240,840,7700,16800,25200,29890,31710,31920,31360,30450,29190,27650,25970,23870,21910,20090,18410,17500,17080,16730,16800,17780,19040,20440,22050,23100,22960,21630,18830,14840,11410,9870,10500,12530,14770,15470,13230,1190,-4830,-9870,-15610,-22330,-28000,-30030,-26040,-17570,-8890,-3010,-700,-1680,-5390,-10360,-14560,-16800,-17010,-15890,-14070,-11480,-7840,-2730,4130,11830,18200,21840,22890,21980,19460,16170,13300,11970,11340,10780,10010,9030,8260,7630,7140,4410,2240,0,-1960,-3990,-6090,0
9,-8330,-11690,-15610,-18130,-17640,-13510,-6230,3010,13790,26040,37590,46760,53690,57960,58240,52010,39550,23030,5250,-11550,-25480,-34860,-39200,-39060,-36050,-32060,-27230,-21140,-13720,-5950,1680,8890,15260,25690,28420,29050,28000,26180,24780,24290,23800,22470,20720,18620,16660,15960,17220,21070,27090,32550,34860,32970,27580,20440,12810,3500,-8960,-23450,-36680,-44870,-46970,-44310,-37940,-30590,-24430,-21000,-20230,-21420,-24430,-28420,-31710,-33810,-35000,-35000,-33390,-30800,-26670,-20720,-13510,-6510,-210,5320,9590,12740,14840,15820,15540,14280,12390,10150,7490,4760,2030,210,-1190,-1610,-420,1680,3360,3150,1470,420,1890,4900,7070,7070,5810,5250,6090,8400,13090,18480,21630,18620,13160,6650,980,-3220,-6650,-9450,-11270,-11200,-9100,-5530,-1400,2590,6440,10640,15050,19040,21490,22330,22190,21560,20720,19810,19600,20720,22540,24710,27090,28840,28700,26740,25270,26320,30310,35140,37590,35140,29050,22120,15190,420,-7350,-14770,-18620,-18690,-14630,-8400,-4620,-5810,-11200,-19740,-30520,-40250,-45710,-44800,-37520,-26320,-14770,-5810,-980,-140,-1190,-1750,-770,1750,5600,10220,14420,17710,19320,18550,15610,12040,8540,4200,-840,-5320,-8190,-9030,-7420,560,4550,6930,6930,5320,4200,4690,0
