,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
0,41650,40250,38990,38290,38920,40460,42560,44590,46270,47740,48930,49630,49770,48930,46550,42420,37170,31290,24500,17150,9870,3640,-1610,-5810,-9800,-13790,-18340,-23590,-29050,-33250,-35420,-35070,-34720,-35840,-37940,-39200,-38640,-35630,-30310,-25130,-21910,-19740,-18060,-16450,-14630,-12810,-11270,-9310,-7210,-4410,-1820,-1120,-3010,-6930,-11340,-15400,-18970,-22190,-24920,-26530,-26250,-23940,-20440,-16800,-13720,-11200,-9030,-7420,-6230,-5180,-4480,-5740,-7980,-10570,-12740,-13300,-11480,-7700,-3290,840,4130,6720,8890,10850,11760,10990,8400,3780,-2100,-7420,-8820,-4200,3360,9240,12530,13930,15260,17850,21490,25620,28910,30450,30380,28770,26040,22610,17500,10220,1540,-6790,-13230,-17710,-22680,-23030,-21840,-19460,-16310,-12950,-9310,-5600,-2870,-770,1190,3430,5670,7700,9030,9730,10220,10360,9590,8190,6580,4410,1750,-1540,-4970,-7840,-9520,-10990,-12320,-13440,-14490,-15330,-14980,-12950,-9940,-7070,-3780,0,3360,5180,6230,6720,6790,6510,5950,5530,5040,3710,1470,-1890,-6790,-13090,-20650,-28140,-34510,-39340,-42700,-44380,-43820,-41300,-37870,-33880,-29330,-24500,-20020,-16380,-12950,-8610,-3080,3570,10780,18340,25480,31220,35280,37660,38640,38710,38780,38640,36750,25410,18200,13510,15050,22680,32200,39410,0
1,43890,46410,47250,46340,43610,38290,30940,21840,11830,1190,-9940,-20230,-28490,-33600,-35000,-33110,-28280,-21350,-13580,-6230,420,7350,14350,19740,22750,24500,27370,30170,30240,27300,22890,18130,12320,-770,-6300,-10570,-13370,-13370,-11340,-8260,-3080,3780,10430,14210,14070,9590,1960,-8120,-18900,-27370,-30660,-28140,-21630,-14070,-8260,-5110,-5530,-10010,-17080,-25480,-33180,-39130,-43470,-45780,-46690,-46900,-46200,-44380,-43330,-43330,-46340,-51590,-56350,-59220,-54110,-47460,-39970,-31640,-23940,-18760,-15540,-12600,-10220,-9310,-10640,-11200,-9100,3640,20790,23380,24220,26600,31150,32900,25690,15260,4340,-8330,-20090,-26740,-23450,-9520,14770,43750,74550,97090,106890,107940,102900,90510,73150,57260,43470,31220,21770,13370,11900,10850,11130,14210,17150,17640,16030,13370,9940,6230,2800,-490,-3500,-6440,-9240,-13860,-19740,-26390,-34440,-41650,-47180,-49700,-47180,-41230,-32970,-22330,-9030,2940,11550,16030,16450,11200,-210,-14630,-27510,-36540,-42420,-46200,-48650,-50680,-52710,-56140,-55230,-51800,-47040,-41650,-35980,-29890,-23170,-15540,-7140,1610,10360,18830,26040,31710,36890,41230,43190,42560,40110,36610,34160,33250,33880,33600,29820,23730,17010,11480,8890,8610,9730,11550,14070,17220,20020,20300,17990,14210,11130,13510,17710,22120,0
2,27930,36050,44170,50400,52710,50260,44100,36820,29750,23310,16870,10570,4410,-770,-3010,-2450,-910,770,2800,5320,7840,9660,10150,8890,6370,3990,2170,-350,-6720,-13370,-18900,-24990,-33040,-41160,-47810,-52780,-56140,-57120,-53410,-46760,-38150,-29050,-21490,-16450,-14420,-14490,-15610,-16520,-15260,-11620,-7560,-3920,-1190,1190,4270,7630,10290,12250,13090,12740,11900,10570,8960,7000,4970,2870,630,-1470,-3220,-5250,-7770,-11340,-15820,-19950,-21910,-21980,-21980,-22680,-22610,-21980,-21280,-21000,-21420,-21770,-21140,-19180,-15750,-11340,-6020,-700,3990,8050,11200,12250,10850,7840,5880,7840,13930,21560,28700,34720,39690,43820,47390,49560,49140,46060,40600,33600,26460,20020,14910,11130,8820,8540,9730,14070,17570,21490,24710,25970,25340,23520,20650,16520,11410,5740,420,-4550,-9590,-14980,-20230,-23940,-26040,-26740,-26740,-25830,-24290,-22400,-20090,-17080,-14980,-15540,-20090,-28350,-38710,-48090,-53270,-52850,-47670,-39620,-29960,-20300,-12670,-7280,-3010,5320,9520,12180,11970,8680,3290,-2800,-8400,-13230,-17150,-20510,-23170,-25270,-27510,-30310,-34160,-38290,-39760,-36120,-27720,-16870,-5880,3920,11340,16170,19950,24150,28140,30940,32690,34370,36400,37520,37310,34790,29120,21630,15120,10850,9100,5040,560,-4760,0
3,-9380,-11830,-11830,-9940,-7560,-6720,-7770,-9450,-11620,-14000,-15610,-15820,-14210,-10920,-6370,-1260,4340,10710,17080,21910,23240,20930,15890,8680,280,-7560,-14000,-18480,-20720,-20930,-19950,-19250,-19320,-18410,-16240,-13860,-11620,-5390,-1890,1190,2800,1750,-2030,-7490,-11690,-13790,-14000,-11970,-7350,-1400,4410,9100,12740,14910,15050,12740,8470,3290,-1610,-5390,-8190,-10430,-12670,-14770,-16590,-18480,-20650,-22470,-23730,-25200,-27020,-28840,-29610,-28350,-24850,-19810,-14140,-3080,770,3430,5180,6510,7980,9800,12460,15750,19180,21910,23030,22400,18690,10850,-770,-13440,-22330,-22610,-15260,-6160,1260,8120,14910,20930,25830,29610,30730,29120,25130,18340,9450,-70,-9520,-18900,-27160,-33600,-38080,-40390,-39760,-30030,-21770,-12040,-1750,7630,15120,20580,23660,24640,23170,19950,16310,13300,10850,6650,700,-5530,-11130,-15540,-17990,-17640,-15120,-11760,-8820,-7420,-8260,-10500,-12670,-13090,-10290,-4830,1610,8190,14140,19040,22540,25480,28350,30800,32340,29820,26460,22050,16590,10010,3360,-2800,-9170,-15750,-21210,-24640,-26670,-28420,-30800,-33950,-37310,-39830,-40740,-39550,-36120,-30730,-24080,-17500,-12390,-9590,-8610,-8120,-7210,-4620,560,7770,15680,23450,30170,35140,37520,36540,32340,27370,24920,30730,33670,33040,0
4,28350,21210,13860,8260,5600,5390,5110,3780,2240,1120,-140,-770,-980,-70,3430,9730,17710,25480,31290,34160,33810,30800,26320,20860,14980,9240,3920,-700,-3850,-5950,-7280,-7700,-6160,-8540,-11060,-15610,-31640,-29890,-22540,-14210,-5670,3220,10570,13300,11200,7000,3010,630,490,3080,8330,13650,17150,18620,18270,16800,14350,11130,8120,5880,4340,3360,3080,2450,560,-2450,-5670,-9100,-13160,-17150,-20230,-22120,-23310,-23660,-22750,-20370,-14560,-12390,-10080,-7350,-4690,-2730,-1750,-1540,-910,980,3920,7350,10990,14420,17080,18340,17500,14070,9030,6230,9800,19740,32060,42210,48090,49000,44450,36400,27370,17920,8680,70,-8400,-16100,-21210,-23730,-23800,-21210,-17080,-11270,4200,10920,16100,18830,19250,18130,16240,13860,10990,7910,4480,490,-3290,-8400,-13580,-18270,-26180,-36050,-45290,-50610,-50890,-46760,-40600,-35210,-31500,-29330,-28420,-27580,-25480,-20580,-12460,-1610,9660,18270,24710,30870,37660,46760,57680,67970,74200,68670,57890,42980,25200,5950,-12880,-28280,-39130,-46200,-51170,-55090,-57750,-58450,-57120,-53690,-48580,-41860,-33810,-24920,-15680,-7350,-980,2870,5530,7910,9730,11200,12460,13720,16030,19740,24150,28700,32200,33460,32340,27090,18270,3080,3290,8400,14490,18270,0
5,19040,17500,14000,8400,1470,-6090,-14140,-21980,-28140,-31360,-32130,-31430,-29890,-27160,-22750,-17010,-10360,-3290,3430,7630,9240,8260,4480,-1050,-7350,-13650,-18830,-22960,-26880,-35070,-35630,-29540,-39060,-52710,-61530,-60410,-54600,-44870,-32900,-20650,-10710,-5810,-5880,-8050,-7560,-2730,5670,15330,24570,32970,39410,43400,47180,51170,54390,55160,52780,47530,39410,27860,15050,3710,-6090,-15120,-23380,-30030,-35140,-39340,-42350,-43960,-43820,-42490,-41160,-39830,-38220,-35420,-34300,-33110,-31150,-28770,-26880,-24990,-22400,-18060,-11970,-4410,3710,10500,14840,17710,18900,17080,12460,7350,5110,7840,14280,19880,22610,23380,22890,21700,21280,21770,21140,19530,15960,9520,1680,-5880,-12320,-16590,-18270,-18690,-17990,-10430,-4970,910,6790,11760,14980,16450,16030,13790,9940,4620,-1190,-7210,-12880,-17010,-23170,-30100,-35630,-39060,-38640,-35210,-29820,-23520,-17080,-11480,-8260,-7770,-8820,-10640,-11970,-11550,-9450,-6650,-3150,70,2310,3360,2940,2870,2240,-3780,-7770,-10220,-10220,-8190,-6160,-5600,-5530,-5180,-4620,-5320,-8330,-12950,-19250,-26950,-33600,-38500,-41300,-43190,-46270,-48930,-49350,-48020,-45850,-43610,-41020,-37800,-33740,-28630,-22120,-13860,-4130,6300,14840,19320,21280,22540,23100,22890,23100,31360,30380,26110,20510,16450,0
6,16310,20720,28140,34300,36330,35770,33880,30450,26670,24220,23100,22960,23170,23870,25830,28630,30520,30870,29540,26810,23030,17920,11690,4830,-1680,-6860,-10430,-12740,-14840,-17430,-20020,-22750,-25970,-29050,-31290,-32410,-31080,-28840,-26180,-23730,-21980,-20720,-20720,-22750,-25970,-28840,-30450,-31150,-30380,-27090,-21280,-14210,-7210,1470,11550,19110,23660,26390,26810,24710,20020,11480,-1050,-14210,-23450,-28000,-27860,-30030,-31780,-30030,-27650,-27300,-23800,-18760,-17150,-18480,-20650,-27930,-36680,-43120,-45920,-46690,-48020,-48650,-46270,-40390,-31290,-19460,-8260,-280,4480,7140,7700,5810,1960,-1190,560,8610,18830,27580,34020,38080,37450,31780,26810,24850,23100,18620,12530,8400,6580,4480,2800,3360,6090,13300,17220,21910,26180,25830,20230,14420,11900,9100,3010,-4410,-10780,-15960,-21140,-26040,-29190,-29820,-29260,-28910,-29330,-30660,-31920,-31500,-28560,-23170,-16590,-10360,-5670,-2730,-2170,-2800,-1400,1750,2800,210,-3990,-8610,-12390,-13650,-12250,-10920,-12950,-15330,-17220,-18340,-18620,-17360,-15050,-12670,-10290,-7910,-5880,-4760,-5110,-7070,-10010,-13580,-17640,-21070,-22540,-22610,-22540,-22610,-22050,-21350,-22260,-24570,-26530,-26810,-25620,-23380,-19740,-14770,-8400,-1890,3150,5460,3640,-2170,-14000,-14560,-11970,-10780,-14700,-22890,0
7,-32550,-40530,-44800,-44380,-39690,-32690,-24850,-16800,-9380,-2940,2170,4760,4200,700,-3850,-7980,-10640,-12600,-13720,-12880,-9380,-4480,-140,2730,4410,4340,2240,-1400,-6090,-11620,-18270,-25410,-32270,-42070,-43610,-43540,-42140,-39690,-37870,-37730,-39690,-43610,-49210,-57120,-66920,-76230,-82810,-86520,-88200,-88410,-88550,-88340,-87430,-86240,-85750,-83230,-75040,-59710,-39270,-18200,-420,12740,22470,29120,31290,27720,17780,2590,-16310,-37590,-59360,-80150,-99190,-114170,-115080,-99190,-79030,-59220,-41230,-27230,-18550,-14420,-13440,-14210,-14700,-13580,-10360,-4900,2660,13160,25690,36610,43400,47320,48160,45990,42000,35630,27440,21350,20790,26040,35000,44800,51940,53410,50050,44800,39410,33880,28140,22470,17850,14560,15050,15120,13860,12600,12390,14070,16940,20510,25060,30450,35840,39970,42420,43750,44310,44100,42840,40530,37450,33180,26530,16660,3570,-11200,-25620,-38290,-48580,-55720,-59850,-61460,-61600,-60970,-59920,-59220,-58800,-58520,-57610,-54670,-48860,-29960,-18270,-4760,9030,20510,27580,28980,25270,17080,3640,-12180,-25130,-34510,-42350,-48790,-53200,-55860,-57190,-56980,-55160,-52780,-50400,-46620,-40040,-30870,-20790,-10500,-630,6720,10360,11340,9590,5740,1400,-2100,-3850,-3710,-1890,-350,-420,-6510,-13510,-23170,-33740,-40250,-38290,-28280,0
8,-12110,9730,35560,59290,75600,83090,80360,68810,52360,34020,16940,4900,-840,-1260,910,3570,7350,12250,18130,24920,31430,36260,38640,39060,38290,37100,35560,33320,30660,27650,24570,21420,17500,7350,1400,-5180,-11900,-17850,-22470,-24220,-22960,-19740,-15190,-10290,-7000,-6790,-9520,-13930,-16450,-13580,-5040,5600,15820,25130,33180,39970,45710,50120,53830,56560,55650,49840,40530,29820,20090,12250,6160,1120,-3500,-7560,-10780,-12250,-10570,-45640,-36050,-34090,-37030,-31850,-23380,-15750,-11200,-10640,-22190,-31500,-30450,-19950,-11760,-6230,2590,13230,20160,21840,20930,18760,13860,5110,-7280,-19530,-24850,-21140,-12530,-3290,5880,15750,26320,36540,43890,45290,39480,28910,15330,1680,-9380,-21770,-23030,-21350,-17150,-11060,-3150,6510,17290,26810,31430,30030,24850,17920,9450,280,-7630,-13510,-18550,-23730,-29190,-35070,-41510,-48230,-54670,-59640,-62510,-63420,-62720,-60480,-57260,-53480,-49280,-44590,-40810,-39690,-42210,-47460,-53200,-61250,-72520,-94990,-104300,-110950,-113680,-111510,-103250,-88760,-70140,-50120,-32900,-22120,-17710,-18620,-22540,-26320,-28350,-28840,-27440,-24780,-22260,-20580,-18690,-16450,-14140,-11970,-9380,-6720,-5040,-4970,-6650,-9590,-13930,-19390,-24570,-29400,-33390,-35560,-35910,-34790,-31920,-19810,-13580,-8890,-5740,-4620,-4620,-4830,0
9,-5670,-7770,-11340,-15400,-18480,-17290,-8820,7560,31500,58380,82250,99400,106890,103320,90790,72800,52220,32130,15540,3500,-3080,-3080,1540,7630,14000,20300,26810,32620,36190,37030,36330,35280,34580,33390,31080,25970,17710,6860,-6090,-20020,-33460,-45220,-54180,-58730,-58730,-55720,-51590,-50120,-53690,-59780,-63560,-62580,-56560,-46200,-32410,-17290,-3920,3850,6230,5180,2100,-1050,-4200,-8120,-13790,-20860,-28420,-35630,-41650,-46130,-49980,-54040,-59080,-68950,-70910,-69860,-65240,-56770,-44730,-30730,-17640,-8120,-2590,350,1330,1400,2170,3990,6160,7980,9450,9590,7770,3570,-2590,-8820,-14980,-20440,-23590,-22750,-18690,-13930,-10780,-9730,-9870,-9380,-5040,4830,17990,31080,42350,50120,53760,55020,53340,49280,43750,39060,36610,36120,36330,37030,38150,38780,38640,38290,37940,37800,36470,32340,25620,17640,8680,-2100,-14210,-26740,-38570,-48720,-57470,-63980,-66640,-63840,-56280,-45920,-36120,-30170,-29820,-34720,-38920,-35910,-25550,-12670,280,17850,18900,14770,8120,1820,-6370,-19110,-35000,-52290,-70140,-87780,-103250,-113120,-114030,-104090,-85190,-62790,-42420,-27370,-17990,-11270,-5320,-2170,-3080,-6300,-10430,-14840,-18550,-20510,-21840,-22890,-23100,-22120,-20650,-20510,-20930,-19320,-15890,-11480,-6930,910,6650,16170,28490,38920,42210,35770,0
