,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
0,-89530,-89810,-89390,-87780,-86730,-86870,-87430,-88760,-91000,-93660,-96040,-97650,-98700,-99120,-98350,-95900,-91700,-85960,-79380,-71820,-63210,-53830,-44660,-36120,-28350,-21070,-13580,-5740,2310,10570,18620,34020,39620,44380,50190,56840,64610,73500,81270,86170,88970,89880,89040,87290,85050,81900,77980,73850,70280,68460,68810,70910,73640,75460,75600,73990,71750,70280,70280,71120,72100,71890,70070,66850,62440,56980,51450,46410,42560,39900,37590,33180,31430,29750,28350,26810,24500,21700,19180,17220,15750,14630,13650,12740,11410,9310,6370,2730,-840,-2870,-3010,-3150,-5810,-10570,-17220,-25550,-34790,-43890,-51800,-58100,-63280,-68040,-72660,-76090,-77840,-79240,-81060,-82670,-84700,-87430,-91070,-98280,-101220,-103530,-105280,-106190,-106470,-106120,-104230,-101010,-97510,-93800,-88900,-82530,-75110,-67480,-59640,-51170,-42280,-33180,-24780,-16940,-8960,-490,9030,19600,30590,40880,50120,58310,65030,70210,73920,77000,80640,85260,89950,93520,95620,96040,95200,94360,96110,97160,97930,98700,99260,99050,97790,95200,90160,82460,73150,63560,54530,47110,41720,38150,36120,34370,32550,31010,30170,29540,28840,28770,29680,31150,33460,35980,37940,38570,37520,35280,32410,29540,27090,25200,24080,23380,23310,22610,16450,12390,7350,2100,-3080,-9100,-15330,-20370,0
1,-24290,-28560,-34020,-40670,-48650,-56770,-64470,-71820,-78260,-84000,-89460,-94220,-98350,-102410,-106400,-110460,-114240,-117880,-122010,-127190,-132580,-138250,-142940,-145180,-143920,-137270,-125580,-112770,-100450,-88200,-75390,-61740,-49910,-29260,-19390,-9590,420,11480,21630,29330,35000,39060,42490,44940,46060,47390,49630,51520,53550,56420,61110,67620,73850,78610,82180,84700,86520,87500,87150,85540,82180,78190,75390,73990,73500,72590,70630,68040,65030,62160,60270,59360,58800,58100,54670,52500,50750,49490,48090,45570,41790,36750,30870,26600,21560,16380,12460,8330,7140,7490,6860,4620,2940,-2450,-11620,-17710,-23240,-28350,-32130,-33600,-31500,-24150,-11060,1330,7140,11550,11200,2800,-2800,-8540,-18200,-28070,-36400,-46550,-57540,-79030,-87080,-92890,-99260,-105840,-110320,-113120,-115500,-117530,-117460,-115850,-112350,-106540,-98210,-89250,-78260,-67270,-57470,-47740,-38920,-30660,-22050,-13510,-3990,5460,14840,22540,29330,34510,38850,43330,49000,55860,63070,69930,74900,77140,76790,74620,71610,67480,56490,50680,45920,42210,39200,36820,34930,32970,30730,28350,26460,25340,24360,23450,23030,23660,25760,28070,29680,30660,31220,30870,28980,27580,28000,29260,30310,32620,35140,37310,38570,38780,39200,38850,38500,36820,32410,24850,15540,6020,-1680,-15890,-23800,-31710,0
2,-38290,-41440,-42560,-42700,-43680,-45570,-48370,-50890,-53760,-57750,-62650,-68460,-74340,-79380,-84210,-88970,-93030,-96320,-99260,-102130,-105280,-108080,-109970,-110950,-111790,-111860,-110040,-105350,-99890,-91770,-81060,-70770,-62440,-55860,-49280,-41930,-33110,-10360,2100,13790,23240,29330,32550,34650,37590,41860,46760,51380,55370,58940,62020,64610,67200,70070,73010,75040,76300,77490,78610,80010,81620,82670,82460,80430,76650,72170,67410,62860,59220,56910,56280,56840,58450,59920,60060,59220,58590,60130,60830,60410,58450,55230,51170,46550,42140,38360,35280,32970,32270,32690,33460,33390,31570,28350,23940,19390,16100,13300,9940,4900,-1470,-8540,-15400,-21770,-28280,-35350,-42210,-48370,-53900,-58940,-63910,-69230,-74340,-79310,-84210,-89250,-94220,-104370,-109690,-114870,-119420,-122850,-125090,-125790,-125230,-123410,-119700,-113890,-106260,-97650,-88130,-77000,-64820,-52990,-41930,-31640,-21560,-11620,-2730,5180,12180,17290,20370,21700,22610,25620,31010,36960,42420,47530,52780,58660,64960,70630,75460,79660,85820,87360,87080,85260,82530,79660,76930,73990,70630,67340,64960,63770,63980,65030,66570,67690,68390,68390,68040,67760,67620,67480,66290,63700,60760,57610,52500,45080,36540,28840,22890,18690,16170,15190,15190,14980,13090,9940,7210,6160,1190,-5250,-13580,-22400,0
3,-30100,-36470,-42350,-48230,-54040,-59360,-63630,-67130,-70350,-73780,-77630,-81760,-86310,-91210,-96600,-102760,-109690,-116900,-124110,-130270,-135030,-138460,-140560,-141820,-141610,-139160,-134050,-126420,-116410,-104510,-91350,-77280,-63070,-49350,-36890,-25270,-14140,9660,21700,32550,41090,46620,50890,56070,62370,68670,73920,78190,81690,84420,86800,89180,91490,93800,95690,97370,98350,98560,98140,97090,94640,90650,85120,78260,71120,65030,60760,58030,56000,54670,53760,52780,51380,49420,47320,45430,43400,38430,36260,35350,35210,35000,34370,33250,31850,30380,28840,27370,26180,24640,21560,17080,11900,7840,6160,5600,2800,-3290,-11970,-21980,-32130,-41510,-50120,-58450,-65590,-70630,-73710,-75670,-77350,-79100,-81410,-84210,-87640,-91280,-94990,-98560,-101500,-106050,-108080,-110180,-112070,-113260,-113330,-112350,-110250,-106610,-101570,-95130,-87080,-77910,-68670,-59780,-50470,-40460,-29820,-18900,-7980,2940,13090,21770,28350,33110,36750,40740,45850,52220,59220,66220,73010,79240,84210,87990,91350,94850,97930,99890,100170,97440,95550,93590,91350,88130,82600,74620,65240,56350,49070,44450,42280,41650,42840,45640,48580,50960,52570,53760,54530,54530,54180,54180,54530,54810,54670,53410,50330,45010,38080,30870,24500,18970,14350,10360,6720,2940,-630,-3430,-5180,-9660,-15890,-23590,0
4,-31360,-38850,-46410,-54040,-62160,-70770,-79030,-86170,-92120,-97230,-102200,-107310,-112630,-118020,-123340,-127890,-131320,-133000,-133140,-132370,-131320,-129990,-128450,-125930,-121590,-115710,-108920,-100870,-91420,-81130,-70700,-61250,-53480,-42980,-39060,-24500,-2590,5040,12320,21000,29750,37590,44310,49910,54530,58380,62300,66850,72450,78120,82880,87150,91700,95760,97930,97930,95480,90580,84140,77140,70840,66220,63140,60550,58100,56000,54180,53060,52990,53410,53900,54110,53620,52220,50120,47250,40110,37310,35770,35210,35140,35000,34230,32270,29540,26670,24150,21700,20090,19600,19600,19110,16730,12320,7140,2100,-2730,-7910,-14070,-20230,-26180,-31990,-37870,-44240,-50820,-57120,-63560,-70140,-75880,-80570,-84630,-87780,-90650,-94220,-98280,-102410,-113680,-118930,-122080,-123340,-122570,-119980,-115920,-110880,-104650,-97020,-88270,-78540,-67830,-55790,-48090,-37940,-26880,-17570,-9450,-2310,3990,10360,17080,24990,33740,42630,51520,60620,69440,77630,85750,93170,98210,100030,98840,96250,93520,91000,88060,84910,79240,77840,77770,77560,75670,71400,65520,59220,52990,47180,42560,39690,38640,38780,38850,38430,36540,33180,29120,24990,21910,19950,19460,21420,25410,30590,35560,39410,41720,42490,41720,39760,37520,36330,35700,34790,32620,27720,21770,9800,5460,70,-6300,-13720,0
5,-21630,-28630,-35000,-42420,-49910,-57190,-64820,-72310,-78960,-84490,-89600,-94290,-98420,-102690,-107380,-112210,-117180,-122150,-126770,-131040,-134330,-136430,-136990,-135800,-132160,-126490,-119420,-110810,-100170,-87640,-75950,-66010,-53480,-40110,-28910,-7980,3430,13090,20790,27370,33460,39130,45080,51800,59640,67200,72940,75950,76860,76790,76370,76440,76720,76650,75810,74130,72170,70420,69510,68950,67550,63840,58380,52990,49070,47390,47390,48580,50400,52080,52990,53270,53410,53340,53270,53200,54180,55440,56910,57680,57120,55580,53900,52290,50470,48440,45920,43470,41440,39130,35490,30240,24290,18900,14840,11270,6510,-630,-9800,-20650,-32620,-44170,-54880,-64890,-73220,-80080,-86030,-90440,-93170,-95130,-96950,-99680,-103880,-108010,-110740,-114730,-116900,-118580,-118930,-117880,-115360,-111510,-106680,-100940,-94430,-87080,-79310,-69930,-62230,-53620,-41720,-30310,-20440,-11830,-4200,3500,10150,15610,20790,25690,29890,32690,34020,35560,38500,41650,43470,44520,45360,46480,48300,50610,51030,51590,52430,49210,46970,45570,45010,43680,40880,37170,33950,31080,28910,27930,27790,28770,30660,32130,32830,32620,30800,30380,30240,28770,25900,23030,21420,21000,21140,21210,21000,20650,20160,19810,19180,18130,16870,15960,14840,13440,14070,15610,15680,11900,5670,-5390,-19670,-33040,0
6,-42910,-49910,-55160,-58450,-59850,-59850,-59640,-59920,-60410,-61390,-62720,-63560,-63630,-63140,-63000,-63560,-63700,-63000,-61530,-59290,-56980,-55510,-53480,-49840,-45570,-41230,-36610,-31710,-26460,-20790,-15120,-9520,-4200,700,5600,15540,19880,24010,28630,33110,36470,38850,40460,42280,45570,49840,54460,59080,63210,65450,65800,65100,64120,61950,57610,53480,50400,46690,42910,39970,37100,33110,27930,21560,15470,11200,8260,9100,7420,10500,15330,15470,12460,9100,7560,9170,12040,15330,18200,19670,20300,20510,20370,19600,18340,16870,15610,15470,16730,18200,19530,19740,17850,14490,10990,8820,8050,6230,2590,-3500,-11200,-17990,-24640,-32060,-39620,-46550,-53970,-60830,-66640,-72030,-76230,-79870,-83160,-85820,-87640,-87080,-86380,-85890,-84630,-81340,-77770,-71050,-62650,-54950,-48090,-41860,-35350,-27300,-19110,-12460,-5950,980,7560,13580,18970,24430,29960,35000,39690,44030,47530,49910,50820,50120,49840,52010,56070,58730,59010,58730,58520,58450,58520,58730,58310,55090,53760,53900,54040,53620,51660,47040,40600,33950,28490,23940,19880,16590,14490,13510,13790,14630,15540,16380,16800,16800,17430,18970,21000,23520,25480,25900,25130,24080,23240,23030,23100,22750,22260,21700,20720,19530,17500,15750,19180,22470,24220,22820,17780,8610,0
7,-4200,-20090,-37660,-53410,-64540,-71890,-77280,-81410,-84840,-87150,-87920,-87360,-85610,-82530,-78190,-73360,-68880,-64190,-59570,-55370,-51380,-47950,-45360,-43260,-41930,-41090,-40320,-39130,-37380,-34930,-31220,-26670,-21210,-7210,560,7700,13580,18200,21210,22890,24570,26530,28210,29190,29610,29120,28770,29890,32550,35560,39200,42770,44520,44310,44310,44520,45080,45640,45990,46480,46760,46060,43610,40950,39340,37940,36610,35560,35560,37310,40390,42630,42770,34510,26670,16590,5810,-3640,-11130,-16870,-21420,-24710,-26460,-26950,-26110,-24500,-22190,-18760,-14490,-10360,-7070,-3850,-560,2170,4690,5950,5810,4410,3150,2730,2240,770,-2870,-8820,-16170,-23520,-29610,-33740,-36120,-37800,-38710,-38430,-37520,-36820,-38220,-40950,-44450,-48580,-53060,-57540,-62090,-66920,-72240,-77350,-81060,-82460,-81760,-79800,-76720,-72590,-67480,-62230,-56770,-50610,-43680,-36680,-29540,-22120,-14700,-7560,-280,7000,14140,21000,26880,30730,33180,36750,42280,49700,58520,67760,76930,90860,95130,98350,100030,98490,92680,83650,74200,66780,62020,59220,56070,52080,49140,47600,45920,44520,44170,44310,44170,43330,42000,40040,37380,35140,33530,32200,31010,29820,28560,27160,25690,24430,23730,23450,23450,23660,24010,24220,24010,21350,18270,14210,10010,6020,1400,-4830,0
8,-12810,-21140,-28840,-35910,-42350,-48930,-55440,-61040,-64890,-67690,-70350,-73710,-77560,-81340,-85470,-90300,-95760,-101290,-107170,-112350,-115850,-117740,-118790,-119770,-120680,-120400,-118020,-113610,-108220,-102270,-95340,-87080,-77910,-59150,-49770,-40810,-32550,-24570,-16100,-6790,3430,14210,24920,35000,43680,50470,57540,67550,79940,91840,99960,104230,104580,101850,99680,99260,98420,96670,94850,93100,92330,92400,93100,93380,91910,87990,83370,79030,75180,73150,73010,73150,71820,61250,60200,57610,56840,57960,59640,60970,61530,61670,59220,57540,56070,55580,55020,54810,54390,52780,49210,44940,41160,37030,31920,25760,19040,12880,6790,0,-6580,-13160,-20300,-28140,-36260,-44310,-52360,-60130,-66290,-70630,-74480,-78820,-83790,-96390,-102830,-108850,-114800,-120750,-126770,-133210,-139720,-146020,-150710,-151970,-150010,-146720,-142380,-136430,-129220,-121450,-113190,-104090,-94710,-85610,-77000,-68810,-61180,-54390,-48510,-42980,-37590,-32620,-28630,-24990,-21140,-17570,-13300,-8610,-5880,-6230,-6930,-6300,-3430,13440,23590,29890,31430,29400,26040,22400,17640,11620,5110,630,-1330,-1400,-140,1330,2520,3010,2590,1540,210,-2100,-5110,-8260,-10640,-12180,-12880,-12600,-11410,-9520,-6930,-4270,-1750,630,2660,4270,5180,5180,5110,5810,7490,13370,17080,22260,27440,31290,32900,31990,0
9,28770,23800,17780,11340,4970,-910,-5600,-7910,-7420,-4130,560,3710,5740,9520,16100,23380,29890,34230,35490,33810,29400,22750,14280,5320,-3010,-10220,-16170,-21210,-25270,-28420,-30870,-32690,-34090,-28070,-21000,-11830,-1540,8960,17850,24850,30590,35560,39410,41160,40390,36610,30450,24010,20160,20790,26040,33040,38360,41020,41650,41160,40530,40460,40600,39970,38150,35980,34020,32060,30100,28420,27160,26390,25690,24990,24150,22610,19950,12600,8890,5320,1680,-2660,-7560,-11760,-14280,-15330,-15960,-16800,-16870,-15750,-13580,-11200,-8890,-7000,-5390,-4340,-3290,-2450,-3290,-4900,-6720,-8470,-9100,-8890,-9310,-11760,-16380,-22470,-27860,-31570,-33460,-32480,-28770,-23170,-16800,-10990,-6790,-1330,-1400,-3080,-5180,-7770,-11550,-16730,-22330,-27930,-33530,-38010,-40880,-42770,-44030,-44310,-42840,-39340,-34510,-29470,-24150,-18970,-14840,-11410,-7910,-4270,-980,1890,4200,4970,3850,1890,1470,4130,10920,22190,34230,42420,46130,45500,39340,25480,21910,20090,21490,24220,26810,28980,29680,30870,33390,36050,37240,35840,32060,26950,20160,11060,770,-8890,-16380,-21560,-24850,-27230,-30100,-33250,-35490,-36470,-36540,-36190,-35350,-34090,-32970,-31780,-29750,-26250,-20580,-13440,-6090,770,6160,14280,18690,22190,23100,21210,17710,13440,0
